144|바른치킨 분당백현초점||경기도 성남시 분당구 백현동 546번지 나상가동 1층 101호일부(좌측부분)|4||0|0|0|1000|30|10000
145|DD치킨 동판교점||경기도 성남시 분당구 백현동 546번지 백현마을 나상가동 1층 104호일부|4||0|0|0|1000|30|10000
146|월간피자 판교백현점||경기도 성남시 분당구 백현동 550번지 자유퍼스트프라자2 1층 109호|5||0|0|0|1000|30|10000
147|치킨마루백현화랑초교점||경기도 성남시 분당구 백현동 553번지 상가동 지하1층 B107호|4||0|0|0|1000|30|10000
148|티바두마리치킨 백현점||경기도 성남시 분당구 백현동 554번지 백현마을 나상가 101호(일부)|4||0|0|0|1000|30|10000
149|다올래김밥||경기도 성남시 분당구 백현동 560번지 1층 일부|3||0|0|0|1000|30|10000
150|깐부치킨 백현마을점||경기도 성남시 분당구 백현동 580번지 5호 1층|4||0|0|0|1000|30|10000
151|마초떡볶이||경기도 성남시 분당구 백현동 591번지 2호 1층 일부|3||0|0|0|1000|30|10000
152|네네치킨(동판교점)||경기도 성남시 분당구 백현동 591번지 2호 1층 일부(101호)|4||0|0|0|1000|30|10000
153|마녀족발||경기도 성남시 분당구 백현동 591번지 5호 1층|9||0|0|0|1000|30|10000
154|머내돌삼겹살||경기도 성남시 분당구 백현동 591번지 6호 1층|1||0|0|0|1000|30|8000
155|수 감자탕||경기도 성남시 분당구 백현동 597번지 3호 1층|1||0|0|0|1000|30|8000
156|문어앤치킨||경기도 성남시 분당구 백현동 600번지 제이스타빌딩 1층 106호|4||0|0|0|1000|30|10000
157|처갓집양념치킨 동판교점||경기도 성남시 분당구 백현동 604번지 7호 1층 전체|4||0|0|0|1000|30|10000
158|김밥홀릭||경기도 성남시 분당구 백현동 604번지 8호 1층|3||0|0|0|1000|30|10000
159|신가네감자탕생삼겹살||경기도 성남시 분당구 분당동 122번지 5호 지상1층|1||0|0|0|1000|30|8000
160|비비큐치킨||경기도 성남시 분당구 분당동 123번지 1호|4||0|0|0|1000|30|10000
161|신통치킨||경기도 성남시 분당구 분당동 152번지 9호 1층 일부|4||0|0|0|1000|30|10000
162|오코코치킨||경기도 성남시 분당구 분당동 160번지 3호 지층|4||0|0|0|1000|30|10000
163|처갓집양념치킨 서현분당점||경기도 성남시 분당구 분당동 35번지 샛별마을상가동 102호|4||0|0|0|1000|30|10000
164|먹보네칼국수||경기도 성남시 분당구 분당동 90번지 5호|1||0|0|0|1000|30|8000
165|피자헛분당점||경기도 성남시 분당구 분당동 90번지 6호 SNH타워 1층일부 103호|5||0|0|0|1000|30|10000
166|분당동점 굽네치킨||경기도 성남시 분당구 분당동 96번지 상가동 2호일부,3호|4||0|0|0|1000|30|10000
167|미소한우국밥||경기도 성남시 분당구 삼평동 618번지 2층 212호, 213호|1||0|0|0|1000|30|8000
168|용인전통순대국||경기도 성남시 분당구 삼평동 618번지 우림W-CITY 지하1층 B111호|1||0|0|0|1000|30|8000
169|등촌동 샤브 칼국수||경기도 성남시 분당구 삼평동 618번지 판교 우림 W-CITY 2층 231호|1||0|0|0|1000|30|8000
170|본죽&비빔밥 cafe(판교역점)||경기도 성남시 분당구 삼평동 647번지 1층 112,113,114호|1||0|0|0|1000|30|8000
171|홍대 칼국수와 족발||경기도 성남시 분당구 삼평동 653번지 푸르지오시티 1층 111호|9||0|0|0|1000|30|10000
172|할매순대국||경기도 성남시 분당구 삼평동 659번지 판교효성헤링턴타워 103호|1||0|0|0|1000|30|8000
173|달팽이김밥||경기도 성남시 분당구 삼평동 660번지 골드타워  1층 일부|3||0|0|0|1000|30|10000
174|혜선이떡볶이||경기도 성남시 분당구 삼평동 660번지 골드타워 2층 일부(212호)|3||0|0|0|1000|30|10000
175|혜선이떡볶이||경기도 성남시 분당구 삼평동 660번지 골드타워 2층일부(213호)|3||0|0|0|1000|30|10000
176|매드후라이드치킨 판교점||경기도 성남시 분당구 삼평동 661번지 1층 일부|4||0|0|0|1000|30|10000
177|동대문엽기떡볶이 동판교점||경기도 성남시 분당구 삼평동 662번지 판교타워 1층 104호|3||0|0|0|1000|30|10000
178|교촌치킨 동판교||경기도 성남시 분당구 삼평동 664번지 1층 일부|4||0|0|0|1000|30|10000
179|청춘우삼겹||경기도 성남시 분당구 삼평동 670번지 1층 117호|1||0|0|0|1000|30|8000
180|김밥만 판교유스페이스점||경기도 성남시 분당구 삼평동 670번지 유스페이스|3||0|0|0|1000|30|10000
181|신사부대찌개품격삼겹살||경기도 성남시 분당구 삼평동 670번지 유스페이스 1 2층 205호|1||0|0|0|1000|30|8000
182|가장맛있는족발||경기도 성남시 분당구 삼평동 670번지 유스페이스1 143, 155, 156|9||0|0|0|1000|30|10000
